The Commonwealth of Massachusetts,,,,,,,,,,,,,,,,,,,
Executive Office of Health and Human Services,,,,,,,,,,,,,,,,,,,
Department of Public Health,,,,,,,,,,,,,,,,,,,
Division of Health Care Facility Licensure and Certification,,,,,,,,,,,,,,,,,,,
"67 Forest Street, Marlborough, MA 01752",,,,,,,,,,,,,,,,,,,
617-753-8000,,,,,,,,,,,,,,,,,,,
"November 14, 2023",,,,,,,,,,,,,,,,,,,
Massachusetts Licensed Clinics and Services Provided,,,,,,,,,,,,,,,,,,,
"^Facility licensed under a parent facility, call DPH at 617-753-8000 for more information on services provided",,,,,,,,,,,,,,,,,,,
~This clinic is in a non-licensed category and additional information is not provided by DPH.,,,,,,,,,,,,,,,,,,,
* Further information on the services provided by these facilities is forthcoming and will be updated regularly.,,,,,Services Provided,,,,,,,,,,,,,,
Clinic Name,Street,City/Town,Zip Code,Telephone,Lithotripsy,Physical Rehab,Surgical,Alcohol/      Substance Use Disorder,Mental Health,Dental ,Medical,Mobile Medical,Pharmacy,Birth Ctr,Mobile Medical MRI,Mobile Medical Lithotripsy,Radiation,Radiology (MRI),Limited Service
COUNSELING & ASSESSMENT CLINIC WORC,"38 FRONT STREET, 5TH FLOOR",WORCESTER,01608,(508)756-5400,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
COUNSELING & ASSESSMENT CLINIC-WORC,"255 PARK AVENUE, SUITE 804",WORCESTER,01609,(508)756-5400,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
COUNSELING FOR ALL,"99 DERBY STREET, SUITE 200",HINGHAM,02043,(617)516-0280,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CROWN ADOLESCENT MENTAL HEALTH,"293 WASHINGTON STREET, REAR 2",NORWELL,02061,(781)812-3121,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
CT FAMILY CARE SERVICES LLC,155 MAPLE STREET UNIT 207 & 208,SPRINGFIELD,01105,(413)285-8722,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
CTR ANXIETY & RELATED DISORDER @ BU,"900 COMMONWEALTH AVNUE, 2ND FLOOR",BOSTON,02215,(617)353-9610,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"CTR FOR PSYCH/FAM SERVICE, INC.","130 MAPLE STREET, SUITE 205",SPRINGFIELD,01103,(413)739-0882,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
D.S. CHEN HEALTH & WELLNESS CENTER,53 OLD MAIN STREET,DEERFIELD,01342,(413)774-1600,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
DANA BEHAVIORAL HEALTH INC,135 WEBSTER STREET,HANOVER,02339,(857)279-1524,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DANA BEHAVIORAL HEALTH INC,"220 RESERVOIR STREET, SUITE 21 & 28",NEEDHAM,02494,(781)429-7755,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DANA BEHAVIORAL HEALTH INC,"306 WASHINGTON STREET, SUITE #1",NORWELL,02061,(781)429-7755,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DANIEL DRISCOLL - NEPOSNET HLTH CTR,398 NEPONSET AVENUE,DORCHESTER,02122,(617)282-3200,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
DANVERS CLINIC^,111 MIDDLETON ROAD,DANVERS,01923,(978)921-1190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCS MENTAL HEALTH INC,151 MYSTIC AVENUE #6,MEDFORD,02155,(781)438-1264,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DCS MENTAL HEALTH INC,251 WEST CENTRAL STREET SUITE 25,NATICK,01760,(508)653-4820,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DCS MENTAL HEALTH INC,90 NEW STATE HIGHWAY ROUTE 44,RAYNHAM,02767,(508)880-6868,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DIMOCK COMMUNITY HEALTH CENTER,45 DIMOCK STREET,BOSTON,02119,(617)442-8800,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
DISCOVERY DAY TREATMENT,1501 WASHINGTON STREET,BRAINTREE,02184,(617)847-1950,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
DOHERTY STUDENT HEALTH CENTER,299 HIGHLAND AVENUE,WORCESTER,01640,(508)860-7888,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
DREAM SPA  MEDICAL,"1340 BEACON STREET, GROUND FLOOR",BROOKLINE,02446,(617)906-8115,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
DREAM SPA MEDICAL,"263 PATRIOT PLACE, GRND FLOOR",FOXBOROUGH,02035,(339)502-8070,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
DUFFY HEALTH CENTER INC,94 MAIN STREET,HYANNIS,02601,(508)778-5255,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
EAST BOSTON COUNSELING CTR,14 PORTER STREET,BOSTON,02128,(617)569-3189,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
EATING DISORDER CENTER OF BOSTON,"419 BOYLSTON STREET, SUITE #501B",BOSTON,02116,(617)474-1777,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
EDINBURG CENTER (THE),"205 BURLINGTON ROAD, 1ST FL",BEDFORD,01730,(781)862-3600,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
EDWARD M KENNEDY CHC MILFORD,41 CAPE ROAD,MILFORD,01757,(800)853-2288,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
EDWARD M KENNEDY COMM HC-OPTOMETRY,605 LINCOLN STREET,WORCESTER,01605,(508)852-1805,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
EDWARD M KENNEDY COMMUNITY HEALTH CENTER INC (PORTABLE UNIT)^,WTHS 1 OFFICER MANNY FAMILIA WAY,WORCESTER,01605,(508)854-2122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDWARD M KENNEDY COMMUNITY HEALTH CENTER-NORTH HIGH SCHOOL^,140 HARRINGTON WAY,WORCESTER,01604,(508)854-2122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDWARD M KENNEDY COMMUNITY HEALTH CENTER-ROOSEVELT SCHOOL^,1006 GRAFTON STREET,WORCESTER,01605,(508)854-2122,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDWARD M KENNEDY COMMUNITY HLTH CTR,19 TACOMA STREET,WORCESTER,01605,(508)852-1805,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
EDWARD M KENNEDY COMMUNITY HLTH CTR,"354 WAVERLY STREET, 1ST FLOOR",FRAMINGHAM,01702,(508)854-2122,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
EDWARD MKCHC BURNCOAT MIDDLE & SENI,135 BURNCOAT STREET,WORCESTER,01606,(508)854-3266,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
EDWARD MKCHC FRAMINGHAM HIGH SCHOOL,115 A STREET,FRAMINGHAM,01701,(508)854-2122,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
EDWARD MKCHC NORTH HIGH SCHOOL,150 HARRINGTON WAY,WORCESTER,01604,(508)852-1805,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
EDWARD MKCHC WORCESTER TECHNICAL HI,1 OFFICER MANNY FAMILIA WAY,WORCESTER,01605,(508)854-2122,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
ELIOT CBHC,"75 SYLVAN STREET, SUITE C",DANVERS,01923,(978)619-6850,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ELIOT CENTER,86 BAKER AVE EXTENSION SUITE 100,CONCORD,01742,(978)369-1113,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ELLEN JONES COMMUNITY DENTAL CENTER,"567 ROUTE 134, UNIT 12",DENNIS,02660,(508)430-1599,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
ELM TREE CLINIC LLC,12 WOOD STREET,LOWELL,01851,(781)354-3555,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
ELM TREE CLINIC LLC,"21 SCHOOL STREET, #1",QUINCY,02169,(978)341-4144,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
ELM TREE CLINIC LLC,390 PLEASANT STREET,MALDEN,02148,(978)341-4144,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
ELWYN ADULT BEHAVIORAL HEALTH SERVICES,1155 PURCHASE STREET,NEW BEDFORD,02740,(508)997-6300,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
EMBRACE PATHWAYS TO WELLNESS,"1R NEWBURY STREET, SUITE 401",PEABODY,01960,(617)804-2773,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ESSENCE OF PEARLS COUNSELING,"16 MILTON STREET, SUITE 6",DEDHAM,02026,(617)708-0188,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
ESSENTIAL ADVANCED SKINCARE AND MEDSPA,"358 WASHINGTON STREET, SUITE 101",DEDHAM,02026,(617)431-4888,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
ETHIO DENTAL CARE,545 CONCORD AVENUE SUITE 7,CAMBRIDGE,02138,(617)959-8969,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
EVERETT OUTPATIENT CLINIC,173 CHELSEA STREET,EVERETT,02149,(781)397-2000,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
EVOKE WELLNESS OF WALTHAM^,"564 MAIN STREET, SUITE 100",WALTHAM,02452,(781)317-0005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FAIRWINDS-NANTUCKET'S CNSLG CENTER,20 VESPER LANE,NANTUCKET,02554,(508)228-2689,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FALL RIVER CRISIS RESPONSE CLINIC,1052 PLEASANT STREET,FALL RIVER,02723,(508)996-8752,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FAMILIAS UNIDAS OUTPATIENT CLINIC,245 EUSTIS STREET ROXBURY,BOSTON,02119,(617)445-1123,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FAMILY & COMMUNITY RESOURCES INC,18 NEWTON STREET,BROCKTON,02301,(508)583-6498,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FAMILY CONTINUITY-LAWRENCE CLINC,360 MERRIMACK ST BLDG 9 FL3,LAWRENCE,01843,(978)687-1617,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FAMILY COUNSELING & GUIDANCE CENTER-SALEM,280 WASHINGTON STREET,SALEM,01970,(617)464-8500,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FAMILY COUNSELING AND GUIDANCE CENTER,275 WEST BROADWAY,SOUTH BOSTON,02127,(978)587-0815,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FAMILY HEALTH CENTER CENTER OF WORCESTER - HOAP,"199 CHANDLER STREET, 4TH FLOOR",WORCESTER,01609,(508)860-7759,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No
FAMILY HEALTH CENTER OF WORCESTER I,"26 QUEEN ST, GRD 1ST 2ND & 3RD FLS",WORCESTER,01610,(508)756-3528,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
FAMILY SERVICE OF THE MERRIMACK VLY,430 NORTH CANAL STREET,LAWRENCE,01840,(978)683-9505,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FAMILY SRVC ASSOC-GREATER F. RIVER,151 ROCK STREET,FALL RIVER,02720,(508)678-7542,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FATHERS' UPLIFT INCORPORATED^,12 SOUTHERN AVENUE,BOSTON,02124,(617)708-0870,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FCP HYANNIS CLINIC^,29 BASSETT LANE,HYANNIS,02601,(508)862-0600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FCP PEABODY CLINIC,"200 CORPORATE DRIVE, SUITE 6A",PEABODY,01960,(978)232-9600,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FCP PLYMOUTH CLINIC,118 LONG POND ROAD SUITE 106,PLYMOUTH,02360,(888)347-4565,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
FCP WHITINSVILLE CLINIC,76 CHURCH STREET,WHITINSVILLE,01588,(508)234-4181,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FCP WORCESTER CLINIC,"29 EAST MOUNTAIN STREET, 2ND FL",WORCESTER,01606,(508)755-0556,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FENWAY COMMUNITY HEALTH CENTER,"1340 BOYLSTON ST, 1 2 3 4 6 5 & 7 F",BOSTON,02115,(617)267-0900,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No
FENWAY SOUTH END,142 BERKELEY ST.-2ND FL-SUITE 203,BOSTON,02115,(617)247-7555,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
FERRERAS COUNSELING & WELLNESS CENTER,"439 SOUTH UNION STREET, SUITE 104",LAWRENCE,01843,(978)648-8515,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FERRERAS COUNSELING & WELLNESS CENTER,"891 CEBTRE STREET, SUITE 300",BOSTON,02130,(978)648-8515,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FERRERAS COUNSELING & WELLNESS CENTER II,"270 UNION STREET, SUITE 301",LYNN,01901,(978)648-8515,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
"FIDELIA COUNSELING SERVICES, INC","607 NORTH AVENUE, BLVD #15, 1ST FL",WAKEFIELD,01880,(781)716-4148,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FORSYTH DENTAL HYGIENE CLN WORCESTE,10 LINCOLN SQUARE 3FL,WORCESTER,01608,(774)243-3410,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
FORSYTH DENTAL HYGIENE PROGRAM,179 LONGWOOD AVENUE,BOSTON,02115,(617)262-5200,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
FORSYTH INST FORSYTH FACULTY ASSOC,245 FIRST STREET 17TH FLOOR,CAMBRIDGE,02142,(617)892-8245,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
FOUR WOMEN,150 EMORY STREET GROUND FLOOR,ATTLEBORO,02703,(508)222-7555,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No
FRAMINGHAM DAY HOSPITAL,98 LINCOLN STREET,FRAMINGHAM,01702,(508)879-3230,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FRAMINGHAM/WALTHAM WIC ON WHEELS,300 HOWARD STREET,FRAMINGHAM,01702,(781)775-5867,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
FREEDOM TRAIL CLINIC,25 STANIFORD STREET,BOSTON,02116,(617)889-4860,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
FRESH START SKINCARE & LASER,"230 LOWELL STREET, SUITE #2H",WILMINGTON,01887,(781)475-2116,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
FUTURES^,55 TOZER ROAD,BEVERLY,01915,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GANDARA BROCKTON CLINIC,"142 CRESCENT STREET, 2ND FL",BROCKTON,02302,(508)232-6670,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
GANDARA CENTER SUBSTANCE ABUSE CLIN,85 GEORGE STREET,SPRINGFIELD,01104,(413)736-8329,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
"GANDARA MENTAL HEALTH CENTER, INC.",2155 MAIN STREET,SPRINGFIELD,01104,(413)736-0395,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
GATEWAY SCHOOL-BASED HEALTH CTR,12 LITTLEVILLE RD STE 134,HUNTINGTON,01050,(413)238-5511,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
GAVIN FOUNDATION CTR FOR RECOVERY S^,210 OLD COLONY AVENUE,BOSTON,02127,(617)268-5000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GBAC, LLC","322 RESERVOIR STREET, SUITE 2",NEEDHAM,02494,(781)471-5656,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
GEIGER-GIBSON COMMUNITY HEALTH CTR,250 MOUNT VERNON STREET,BOSTON,02125,(617)288-1140,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
GENTLES COUNSELING SERVICES LLC,"100 GROVE STREET, SUITE 119",WORCESTER,01605,(774)420-2060,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
GLFHC MHU SPRINTER^,34 HAVERHIL STREET,LAWRENCE,01841,(978)725-7400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GLFHC TEEN HEALTH CTR @ LAWRENCE HS,70-71 PARISH ROAD SUITE A184,LAWRENCE,01843,(978)689-6461,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
GLOUCESTER CLINIC,298 WASHINGTON STREET,GLOUCESTER,01930,(978)745-2440,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
GLOUCESTER DENTAL HEALTH CENTER,99 PROSPECT STREET,GLOUCESTER,01930,(978)281-0700,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
GLOUCESTER FAMILY HEALTH CENTER,302 WASHINGTON STREET,GLOUCESTER,01930,(978)282-8899,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
GODDARD SCHOOL SCI & TECHNOL SBHC,14 RICHARDS STREET,WORCESTER,01603,(508)860-7700,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
GOLDEN YEARS BEHAVIORAL HEALTH GROUP^,18 SHAKER ROAD,EAST LONGMEADOW,01028,(413)570-7252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOOD SAMARITAN RADIATION ONCOLOGY C,818 OAK STREET,BROCKTON,02301,(508)427-2900,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"GORDON COLLEGE CTR FOR BALANCE,M&W",26R HULL STREET,WENHAM,01984,(978)867-4095,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
GOSNOLD CNSLING CTR-NORTH DARTMOUTH,74 FAUNCE CORNER ROAD,NORTH DARTMOUTH,02747,(508)548-7118,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
GOSNOLD COUNSELING CENTER,196 TER HEUN DRIVE,FALMOUTH,02541,(508)540-6550,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
GOSNOLD COUNSELING CENTER^,1185 FALMOUTH ROAD,CENTERVILLE,02632,(508)862-9929,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOSNOLD COUNSELING CTR^,"909 SUMNER STREET, 2ND FL STE 5 & 6",STOUGHTON,02072,(781)540-6550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GOSNOLD ON NANTUCKET^,35 OLD SOUTH ROAD,NANTUCKET,02554,(508)540-6550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GOTHAMS, LLC^",103 GARLAND STREET,EVERETT,02149,(978)500-4776,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GOTHAMS, LLC^",361 WHITNEY AVE,HOLYOKE,01040,(978)500-4776,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GOTHAMS, LLC^",506 PROSPECT STREET,FALL RIVER,02720,(978)300-4776,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GREATER BOSTON MRI LP @STEWARD MD G,531 FAUNCE CORNER ROAD,NORTH DARTMOUTH,02747,(508)552-2734,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
GREATER BOSTON MRI LP^,600 FEDERAL STREET,ANDOVER,01810,(978)552-2731,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GREATER GARDNER COMMUNITY HEALTH CT,"175 CONNORS STREET, 1ST, 2ND 3RD FL",GARDNER,01440,(978)410-6110,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
GREATER LAWRENCE FAMILY HEALTH CEN,700 ESSEX STREET,LAWRENCE,01841,(978)689-6652,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
GREATER LAWRENCE FAMILY HEALTH CENT,"147 PELHAM STREET, FIRST FLOOR",METHUEN,01844,(508)685-1770,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
GREATER LAWRENCE FAMILY HEALTH CENT,LAMPREY BLDG 4TH FL ONE GENERAL ST,LAWRENCE,01842,(978)983-0488,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
GREATER LAWRENCE FAMILY HEALTH CENT,PLAZA 114 73D WINTHROP STREET 1 FL,LAWRENCE,01843,(978)686-3017,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
GREATER LAWRENCE FAMILY HEALTH CTR,34 HAVERHILL STREET,LAWRENCE,01841,(508)685-1770,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
"GREATER LAWRENCE FAMILY HEALTH CTR,",150 PARK STREET,LAWRENCE,01841,(978)685-1770,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
GREATER LAWRENCE FAMILY HLTH CTR IN,1 GRIFFIN BROOK DRIVE,METHUEN,01844,(978)725-7400,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
GREATER LAWRENCE TECH SCH HLTH SRVS,57 RIVER ROAD,ANDOVER,01810,(978)686-8521,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
GREATER MALDEN BEHAVIORAL HEALTH,6 PLEASANT STREET,MALDEN,02148,(781)480-4311,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
GREATER NEW BEDFORD COMM HC DENTAL,848 PURCHASE STREET,NEW BEDFORD,02740,(508)992-6553,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
"GREATER NEW BEDFORD COMM HLT CTR, I",874 PURCHASE STREET,NEW BEDFORD,02740,(508)992-6553,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
GREATER SPRINGFIELD MRI LP @ MERCY,271 CAREW STREET,SPRINGFIELD,01101,(413)229-7226,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
GREATER SPRINGFLD MRI LP^,600 FEDERAL STREET,ANDOVER,01810,(978)739-0290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"GUIDANCE,THE CTR FAM CLNIC OF SOMER",111 SOUTH STREET,SOMERVILLE,02143,(617)354-2275,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
HARBOR COMMUNITY HEALTH CENTER,10 CORDAGE PARK SUITE 115 BLDG1,PLYMOUTH,02360,(508)778-5444,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
HARBOR COMMUNITY HEALTH CTR-HYANNIS,735 ATTUCKS LANE,HYANNIS,02601,(508)778-0300,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
HARBOR COUNSELING CENTER,789 CLAPBOARDTREE ST,WESTWOOD,02090,(781)762-4001,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
HARBOR HLTH COMM DENTAL CTR-PROVINC,49 HARRY KEM WAY,PROVINCETOWN,02657,(508)778-5499,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
HARBOR STREET CLINIC,10 HARBOR STREET,DANVERS,01923,(978)369-1113,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
HARMONY BAY WELLNESS LLC,57 BEDFORD STREET SUITE 105,LEXINGTON,02420,(856)282-1300,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
HARVARD DENTAL CENTER CAMBRIDGE,"114 MOUNT AUBURN STREET, SUITE A",CAMBRIDGE,02138,(617)432-1434,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
HARVARD SCHOOL OF DENTAL MEDICAL,188 LONGWOOD AVENUE,BOSTON,02115,(617)732-1455,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
HARVARD ST NEIGHBORHOOD HEALTH CTR,632 BLUE HILL AVENUE,BOSTON,02121,(617)825-3400,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
HARVARD UNIVERSITY HEALTH SERVICES,"75 MOUNT AUBURN ST, GROUND&2ND-5TH",CAMBRIDGE,02138,(617)495-2010,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,No
HARVARD VANGUARD MEDICAL ASSOCIATES - PLYMOUTH^,"26 PARKRODGE ROAD, SUITE 2B",HAVERHILL,01835,(978)921-1190,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HAVERHILL FAMILY HEALTH CENTER,"755 MAIN ST, UNIT C",HAVERHILL,01830,(508)685-1770,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No
HCWW-WEST STREET,"41 WEST STREET, 6TH FLOOR",BOSTON,02111,(781)239-0290,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
HDC PORTABLE,788 SOUTH STREET,PITTSFIELD,01201,(413)445-6680,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
HEALTH COLLABORATIVE OF THE BERKSHIRES MOBILE HLTH^,444 STOCKBRIDGE ROAD,GREAT BARRINGTON,01230,(413)528-9311,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HEALTH QUARTERS,215 SUMMER STREET #16,HAVERHILL,01830,(978)521-4444,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
HEALTH QUARTERS,280 MERRIMACK STREET SUITE 501,LAWRENCE,01843,(978)681-5258,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
"HEALTH QUARTERS, INC.",100 CUMMINGS CENTER 100-E,BEVERLY,01915,(978)922-4490,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
HEALTH SERVICES FOR THE HOMELESS,755 WORTHINGTON STREET,SPRINGFIELD,01105,(413)731-9575,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
